workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,0.1000,0.040000,18.257,3.678,0.329864,-8.016458,-0.013773,0.784793680,-0.006774837,0.005757210,-2.948945,7,-0.009838021,-0.003314905,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.308,3.729,0.311155,-7.851445,-0.014602,0.784794376,-0.006365089,0.005430677,-2.896811,7,-0.010430031,-0.003188087,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.359,3.781,0.293572,-7.688538,-0.015482,0.784794992,-0.005976648,0.005123790,-2.844727,7,-0.010834744,-0.003090708,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.411,3.832,0.277059,-7.527829,-0.016262,0.784795538,-0.005616324,0.004835587,-2.794295,7,-0.011458928,-0.002983366,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.462,3.883,0.261550,-7.369430,-0.016831,0.784796023,-0.005277306,0.004564902,-2.744933,7,-0.012021958,-0.002855130,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.512,3.933,0.246977,-7.213430,-0.017513,0.784796453,-0.004957060,0.004310570,-2.696723,7,-0.012479537,-0.002780186,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.563,3.984,0.233283,-7.059899,-0.017949,0.784796834,-0.004659542,0.004071556,-2.649302,7,-0.012820507,-0.002660390,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.614,4.035,0.220414,-6.908887,-0.018239,0.784797173,-0.004379098,0.003846956,-2.602451,7,-0.013027890,-0.002569814,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.664,4.085,0.208320,-6.760435,-0.018733,0.784797474,-0.004110963,0.003635872,-2.556574,7,-0.013413930,-0.002497152,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.715,4.136,0.196951,-6.614582,-0.018955,0.784797741,-0.003865696,0.003437441,-2.511645,7,-0.013436591,-0.002420313,0.040000000
