workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,2.0500,0.820000,18.176,3.903,5.146896,-26.077080,0.226962,0.783268596,-0.112653758,0.089830285,7.628822,7,0.168232830,-0.035468412,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.227,3.953,4.842289,-25.478308,0.183184,0.783444156,-0.105711005,0.084513888,7.495582,7,0.135935333,-0.033996785,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.277,4.004,4.550713,-24.845104,0.144909,0.783602243,-0.099101536,0.079424927,7.365387,7,0.103506209,-0.032201065,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.327,4.054,4.277395,-24.194327,0.109892,0.783741548,-0.092903984,0.074654627,7.236125,7,0.078494120,-0.030856170,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.379,4.106,4.021115,-23.530417,0.078912,0.783864377,-0.087117423,0.070181690,7.106167,7,0.056365549,-0.029535931,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.430,4.157,3.780759,-22.857332,0.052453,0.783972715,-0.081712774,0.065986685,6.979248,7,0.041171893,-0.028497684,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.481,4.208,3.555295,-22.178471,0.029802,0.784068300,-0.076658280,0.062051599,6.856681,7,0.021287224,-0.026995565,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.532,4.259,3.343766,-21.496774,0.008922,0.784152650,-0.071919603,0.058359721,6.735339,7,0.006372752,-0.025816005,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.583,4.310,3.145285,-20.814867,-0.009444,0.784227112,-0.067484404,0.054895579,6.615864,7,-0.006745633,-0.024682399,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.634,4.361,2.959024,-20.135073,-0.025651,0.784292861,-0.063334631,0.051644715,6.497209,7,-0.018322098,-0.023588914,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.685,4.412,2.784199,-19.459438,-0.038892,0.784350941,-0.059458244,0.048593442,6.382028,7,-0.027780122,-0.022517916,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.737,4.463,2.620088,-18.789684,-0.051449,0.784402246,-0.055811114,0.045729156,6.268085,7,-0.035038283,-0.021722810,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.788,4.515,2.466018,-18.127371,-0.061794,0.784447589,-0.052401416,0.043040128,6.156088,7,-0.042821399,-0.020763290,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.839,4.566,2.321340,-17.473818,-0.070169,0.784487676,-0.049212206,0.040515021,6.047700,7,-0.050120944,-0.019641779,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.890,4.617,2.185466,-16.830104,-0.078275,0.784523120,-0.046215841,0.038143583,5.940172,7,-0.055910493,-0.018770164,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.941,4.668,2.057853,-16.197211,-0.084814,0.784554471,-0.043410118,0.035916312,5.834898,7,-0.060581216,-0.017931176,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.992,4.718,1.937977,-15.575959,-0.090179,0.784582207,-0.040780388,0.033824085,5.732116,7,-0.063686697,-0.017286356,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,19.042,4.769,1.825352,-14.967017,-0.094771,0.784606754,-0.038314925,0.031858403,5.631396,7,-0.067693515,-0.016362750,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,19.093,4.820,1.719538,-14.370951,-0.098576,0.784628481,-0.036000803,0.030011593,5.532147,7,-0.070411347,-0.015637488,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,19.144,4.871,1.620101,-13.788240,-0.101751,0.784647719,-0.033831136,0.028276094,5.434363,7,-0.072679596,-0.014943992,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,19.205,4.931,1.508640,-13.107122,-0.104652,0.784667926,-0.031403978,0.026330727,5.319877,7,-0.074402630,-0.014278992,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,19.257,4.984,1.421906,-12.554996,-0.107120,0.784682654,-0.029512019,0.024816936,5.222565,7,-0.076514480,-0.013548735,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,19.309,5.036,1.340353,-12.017242,-0.107757,0.784695714,-0.027753206,0.023393573,5.128893,7,-0.076969163,-0.012930453,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,19.360,5.087,1.263677,-11.493937,-0.108264,0.784707289,-0.026095673,0.022055331,5.037438,7,-0.077331604,-0.012358510,0.820000000
ros2_pendulum_ws,positive,2.1000,0.840000,20.622,0.010,0.310222,-2.781284,-0.067950,0.784794387,-0.005894157,0.005414394,3.236143,7,-0.048849002,-0.004299101,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,20.673,0.061,1.544215,-3.398224,0.742583,0.784900412,0.246435171,0.026951640,3.178809,7,2.108140227,0.368883075,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,20.724,0.112,2.498017,-4.844930,-1.945612,0.784847929,0.324350955,0.043598615,3.122755,7,-1.389723152,-0.086677582,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,20.775,0.163,3.337352,-6.443392,-1.498706,0.784487399,0.297018051,0.058247776,3.067611,7,-0.555226491,-0.028577300,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,20.835,0.223,4.254371,-8.488585,-0.542985,0.783979542,0.255337349,0.074252779,3.003307,7,-0.630521575,-0.043297148,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,20.886,0.274,4.966525,-10.284769,-0.544505,0.783559084,0.241023899,0.086682210,2.950003,7,-0.432528278,-0.035109064,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,20.937,0.325,5.636390,-12.155993,-0.546971,0.783109912,0.227529325,0.098373557,2.898062,7,-0.390693396,-0.040540475,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,20.988,0.376,6.265063,-14.095360,-0.504795,0.782639312,0.213804433,0.109345980,2.846419,7,-0.360567713,-0.044906972,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.041,0.429,6.854906,-16.095940,-0.452925,0.782156030,0.200665761,0.119640678,2.794099,7,-0.327266079,-0.047413495,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.101,0.489,7.514723,-18.567939,-0.382971,0.781567764,0.185724738,0.131156658,2.735961,7,-0.273550854,-0.051672008,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.152,0.540,8.027287,-20.679516,-0.330980,0.781076604,0.174260017,0.140102591,2.697330,7,-0.245587028,-0.054029715,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.202,0.590,8.507918,-22.830784,-0.272414,0.780588586,0.163386218,0.148491174,2.697330,7,-0.201591055,-0.056473736,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.253,0.641,8.958737,-25.014483,-0.225038,0.780106966,0.153259376,0.156359453,2.697330,7,-0.168744700,-0.059093200,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.303,0.691,9.381549,-27.224503,-0.180598,0.779634181,0.143740811,0.163738913,2.697330,7,-0.135867822,-0.061305766,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.354,0.742,9.778158,-29.455244,-0.137913,0.779172172,0.134795409,0.170661054,2.697330,7,-0.098509539,-0.063756566,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.405,0.793,10.073954,-31.664751,18.466871,0.778755700,-0.036777143,0.175823672,2.697330,7,13.190622316,0.330464656,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.455,0.843,9.944619,-32.498993,20.670340,0.778938140,-0.092053568,0.173566343,2.697330,7,3.013832910,0.654705249,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.506,0.894,9.823965,-30.702843,13.852045,0.779051547,0.036941031,0.171460543,2.697330,7,20.000000000,0.184168971,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.557,0.945,11.016090,-29.769812,-10.879964,0.777636177,0.129142999,0.192267048,2.697330,7,-7.771403002,-0.123651160,0.840000000
ros2_pendulum_ws,positive,2.1000,0.840000,21.608,0.996,11.479013,-31.739447,15.164638,0.776951318,-0.007653422,0.200346578,2.697330,7,9.520559884,-0.003880950,0.840000000
