workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
real,4.389,168.509774,-8.220290,-2.053533,0.009061339,0.547067895,2.941050375,0.000000,6,-0.020535331,-1.466809346,0.000000000,0.000000,swing_up
real,4.409,169.220526,-9.578006,-8.363250,0.008443224,0.616250414,2.953455346,0.000000,6,-0.083632497,-5.973749806,0.000000000,0.000000,swing_up
real,4.430,169.786341,-11.076138,-7.713072,0.006920898,0.419129275,2.963330669,0.000000,6,-0.077130723,-5.509337390,0.000000000,0.000000,swing_up
real,4.450,170.095459,-12.764634,-1.404260,0.006077870,0.239489881,2.968725799,0.000000,6,-0.014042597,-1.003042631,0.000000000,0.000000,swing_up
real,4.471,170.411507,-14.517049,4.305099,0.005891526,0.319962900,2.974241874,0.000000,6,0.043050986,3.075070408,0.000000000,0.000000,swing_up
real,4.492,171.021255,-16.194925,10.738506,0.006444393,0.639539653,2.984883995,0.000000,6,0.107385065,7.670361769,0.000000000,0.000000,swing_up
real,4.513,172.202319,-17.661362,17.130032,0.009466541,1.208112997,3.005497442,0.000000,6,0.171300316,12.235736869,0.000000000,0.000000,swing_up
real,4.533,174.240555,-18.771335,23.457861,0.018348636,2.022856649,3.041071368,0.000000,6,0.234578605,16.755614648,0.000000000,0.000000,swing_up
real,4.554,177.403549,-19.382678,29.915039,0.037976854,3.064882015,3.096276037,0.000000,6,0.299150389,21.367884949,0.000000000,0.000000,swing_up
real,4.575,-178.058463,-19.353351,36.225594,0.074919040,4.321277873,-3.107706448,0.000000,6,0.362255943,25.875424469,0.000000000,0.000000,swing_up
real,4.595,-171.927121,-18.543677,42.460085,0.136544540,5.758818267,-3.000694335,0.000000,6,0.424600847,30.328631909,0.000000000,0.000000,swing_up
real,4.625,-159.448148,-15.591802,51.694517,0.286127038,8.080109670,-2.782895163,0.000000,6,0.516945173,36.924655188,0.000000000,0.000000,swing_up
real,4.655,-143.202354,-10.315521,42.255509,0.482257278,10.050795082,-2.499352581,0.000000,6,0.422555092,30.182506588,0.000000000,0.000000,swing_up
real,4.676,-131.532635,-5.931179,35.821542,0.534878225,10.033166056,-2.295677548,0.000000,6,0.358215417,25.586815488,0.000000000,0.000000,swing_up
real,4.697,-120.570900,-1.531179,29.487087,0.544467027,9.376077445,-2.104359195,0.000000,6,0.294870871,21.062205068,0.000000000,0.000000,swing_up
real,4.718,-110.430789,2.868821,23.082311,0.554204183,8.642648224,-1.927380863,0.000000,6,0.230823109,16.487364908,0.000000000,0.000000,swing_up
real,4.738,-101.168549,7.268821,16.734584,0.563955670,7.867050360,-1.765724286,0.000000,6,0.167345836,11.953274028,0.000000000,0.000000,swing_up
real,4.759,-92.813146,11.668821,10.396171,0.573197077,7.072051516,-1.619894984,0.000000,6,0.103961706,7.425836168,0.000000000,0.000000,swing_up
real,4.779,-85.371368,16.068821,4.046142,0.581602229,6.275681503,-1.490011453,0.000000,6,0.040461417,2.890101228,0.000000000,0.000000,swing_up
real,4.800,-78.832990,20.467718,-2.213345,0.589043852,5.491992835,-1.375895239,0.000000,6,-0.022133451,-1.580960752,0.000000000,0.000000,swing_up
real,4.820,-73.157790,24.827303,-8.505056,0.596636651,4.757726816,-1.276844303,0.000000,6,-0.085050563,-6.075040231,0.000000000,0.000000,swing_up
real,4.841,-68.239597,29.034725,-14.830863,0.606095361,4.129844081,-1.191005644,0.000000,6,-0.148308632,-10.593473712,0.000000000,0.000000,swing_up
real,4.871,-61.936344,34.791988,-24.167132,0.625042310,3.465431196,-1.080993129,0.000000,6,-0.241671320,-17.262237132,0.000000000,0.000000,swing_up
real,4.901,-55.723368,38.995089,-33.561009,0.705861100,4.807954455,-0.972556238,0.000000,6,-0.335610088,-23.972149132,0.000000000,0.000000,swing_up
real,4.922,-48.684392,38.545118,-39.901981,0.805184130,6.199177008,-0.849702943,0.000000,6,-0.399019813,-28.501415192,0.000000000,0.000000,swing_up
real,4.943,-41.165305,37.266667,-28.000000,0.869515194,6.740013464,-0.718470117,0.000000,6,-0.280000000,-20.000000000,0.000000000,0.000000,swing_up
real,4.973,-28.734972,33.940728,-28.000000,0.961017952,7.492344104,-0.501519874,0.000000,6,-0.280000000,-20.000000000,0.000000000,0.000000,swing_up
real,4.993,-19.611797,30.933687,-2.465107,1.028464045,8.161308267,-0.342290427,0.000000,6,-0.280000000,-20.000000000,0.000000000,0.000000,swing_up
real,5.014,-10.434582,27.707369,48.469180,1.014248891,7.680141111,-0.182117807,0.000000,6,0.484691800,47.292878403,0.000000000,0.000000,swing_up
real,5.034,-3.863946,25.601562,99.735045,0.872137308,4.696522124,-0.067438579,0.000000,6,0.997350450,92.406839598,0.000000000,0.000000,swing_up
real,5.055,-2.884823,26.058871,100.770290,0.787611635,-0.909521034,-0.050349659,0.000000,6,1.007702900,93.317855202,0.000000000,0.000000,swing_up
real,5.075,-8.637212,29.643073,50.815723,0.930524813,-6.127295497,-0.150747784,0.000000,6,0.508157225,49.357835808,0.000000000,0.000000,swing_up
real,5.105,-20.027155,36.243073,-24.228837,0.940342435,-6.694600447,-0.349539800,0.000000,6,-0.242288375,-16.681376991,0.000000000,0.000000,swing_up
real,5.126,-24.569455,38.953128,-46.192079,0.751082394,-0.672887737,-0.428817877,0.000000,6,-0.461920792,-32.994342311,0.000000000,0.000000,swing_up
real,5.146,-22.474990,38.089498,-28.000000,0.774841006,2.227395525,-0.392262571,0.000000,6,-0.280000000,-20.000000000,0.000000000,0.000000,swing_up
real,5.168,-19.030451,36.369937,-28.000000,0.804886207,3.222292146,-0.332144025,0.000000,6,-0.280000000,-20.000000000,0.000000000,0.000000,swing_up
real,5.189,-14.637205,34.030560,-28.000000,0.838454450,4.073993152,-0.255467427,0.000000,6,-0.280000000,-20.000000000,0.000000000,0.000000,swing_up
real,5.210,-9.200346,31.065049,-28.000000,0.880127006,5.009369069,-0.160576326,0.000000,6,-0.280000000,-20.000000000,0.000000000,0.000000,swing_up
real,5.230,-2.752720,27.532563,22.489213,0.915429778,5.724564733,-0.048044020,0.000000,6,0.224892125,24.430507007,0.000000000,0.000000,swing_up
real,5.251,2.773429,24.381996,74.757500,0.854166210,4.178092700,0.048405461,0.000000,6,0.747575000,70.426600007,0.000000000,0.000000,swing_up
real,5.271,4.343002,23.076608,74.513400,0.783673303,0.003477954,0.075799692,0.000000,6,0.745134000,70.211792006,0.000000000,0.000000,swing_up
real,5.291,0.758154,24.208537,22.487468,0.849886297,-4.034868329,0.013232287,0.000000,6,0.484262250,47.255078004,0.000000000,0.000000,swing_up
real,5.313,-5.302770,26.520124,-29.715865,0.902164543,-5.455362593,-0.092550794,0.000000,6,-0.297158650,-21.509961193,0.000000000,0.000000,swing_up
real,5.333,-10.817656,28.564310,-81.164370,0.851303289,-4.285920201,-0.188803710,0.000000,6,-0.811643700,-66.784645593,0.000000000,0.000000,swing_up
real,5.354,-12.848735,28.899902,-81.553570,0.776062108,-0.521437173,-0.224252738,0.000000,6,-0.815535700,-67.127141597,0.000000000,0.000000,swing_up
real,5.374,-10.192836,26.911836,-29.928712,0.817533612,3.119558042,-0.177898543,0.000000,6,-0.554330475,-44.141081799,0.000000000,0.000000,swing_up
real,5.395,-5.442573,23.843592,20.026903,0.854924430,4.239500606,-0.094990818,0.000000,6,0.200269025,22.263674204,0.000000000,0.000000,swing_up
real,5.415,-1.528751,21.107058,71.273212,0.816173047,2.806809419,-0.026681747,0.000000,6,0.712732125,67.360427000,0.000000000,0.000000,swing_up
real,5.436,-1.111257,19.976436,18.806747,0.785948181,-0.552716769,-0.019395101,0.000000,6,0.188067475,21.189937796,0.000000000,0.000000,swing_up
real,5.457,-3.066798,19.946415,-33.159468,0.797589062,-1.826953845,-0.053525730,0.000000,6,-0.331594675,-24.540331400,0.000000000,0.000000,swing_up
real,5.478,-4.226386,19.532250,-48.998705,0.784351211,-0.393155878,-0.073764349,0.000000,6,-0.489987051,-34.999075103,0.000000000,0.000000,swing_up
real,5.508,-2.071870,17.040764,27.636700,0.793509473,1.497163870,-0.036160953,0.000000,6,0.276366999,29.222526421,0.000000000,0.000000,swing_up
real,5.529,-1.299411,15.660174,-13.386966,0.785291754,0.384923065,-0.022679006,0.000000,6,-0.133869658,-9.620721061,0.000000000,0.000000,swing_up
real,5.550,-0.739664,14.367551,-2.673294,0.786451600,0.648902465,-0.012909581,0.000000,6,-0.026732944,-1.909496005,0.000000000,0.000000,swing_up
real,5.570,0.182784,12.897731,3.075903,0.787260134,0.784558878,0.003190184,0.000000,6,0.030759030,2.197073539,0.000000000,0.000000,swing_up
real,5.590,0.984221,11.481628,-1.053022,0.786617226,0.684674893,0.017177902,0.000000,6,-0.010530223,-0.752158799,0.000000000,0.000000,swing_up
real,5.612,1.789636,10.066957,1.200123,0.786636443,0.712012142,0.031235045,0.000000,6,0.012001230,0.857230695,0.000000000,0.000000,swing_up
real,5.632,2.593047,8.661926,1.511378,0.786303684,0.690194731,0.045257216,0.000000,6,0.015113784,1.079555993,0.000000000,0.000000,swing_up
real,5.652,3.355281,7.290397,1.565462,0.785860105,0.658170189,0.058560708,0.000000,6,0.015654625,1.118187487,0.000000000,0.000000,swing_up
real,5.672,4.089123,5.951809,2.177580,0.785400806,0.632401051,0.071368667,0.000000,6,0.019092594,1.363756708,0.000000000,0.000000,swing_up
real,5.694,4.783440,4.656543,2.429589,0.784849524,0.595031937,0.083486776,0.000000,6,0.024295894,1.735421016,0.000000000,0.000000,swing_up
real,5.714,5.432437,3.412287,2.731751,0.784271385,0.555391481,0.094813908,0.000000,6,0.027317510,1.951250731,0.000000000,0.000000,swing_up
real,5.734,6.033964,2.224742,3.027068,0.783678145,0.512868434,0.105312531,0.000000,6,0.030270684,2.162191713,0.000000000,0.000000,swing_up
real,5.755,6.583787,1.100283,3.259050,0.783084618,0.467011082,0.114908754,0.000000,6,0.032590503,2.327893087,0.000000000,0.000000,swing_up
real,5.776,7.079552,0.044075,3.478639,0.782511910,0.419396133,0.123561486,0.000000,6,0.034786386,2.484741829,0.000000000,0.000000,swing_up
real,5.797,7.519347,-0.939281,3.665865,0.781973554,0.370104112,0.131237370,0.000000,6,0.036658652,2.618475164,0.000000000,0.000000,swing_up
real,5.817,7.901607,-1.845717,3.823300,0.781483030,0.319620636,0.137909053,0.000000,6,0.038232996,2.730928294,0.000000000,0.000000,swing_up
real,5.838,8.225370,-2.671843,3.955028,0.781051511,0.268392617,0.143559794,0.000000,6,0.039550281,2.825020060,0.000000000,0.000000,swing_up
real,5.859,8.490011,-3.414822,4.058915,0.780687758,0.216694786,0.148178641,0.000000,6,0.040589146,2.899224731,0.000000000,0.000000,swing_up
real,5.879,8.695246,-4.072395,4.136712,0.780398605,0.164833687,0.151760677,0.000000,6,0.041367119,2.954794240,0.000000000,0.000000,swing_up
real,5.900,8.841098,-4.642857,4.188985,0.780188780,0.113052485,0.154306278,0.000000,6,0.041889854,2.992132457,0.000000000,0.000000,swing_up
real,5.920,8.927874,-5.125061,4.217416,0.780061041,0.061581758,0.155820797,0.000000,6,0.042174158,3.012439825,0.000000000,0.000000,swing_up
real,5.941,8.955964,-5.518314,4.218245,0.780016412,0.010525992,0.156311064,0.000000,6,0.042182454,3.013032447,0.000000000,0.000000,swing_up
real,5.962,8.926125,-5.822517,4.198378,0.780054076,-0.039829766,0.155790264,0.000000,6,0.041983777,2.998841228,0.000000000,0.000000,swing_up
real,5.982,8.839201,-6.038024,4.153952,0.780171640,-0.089424400,0.154273159,0.000000,6,0.041539521,2.967108661,0.000000000,0.000000,swing_up
real,6.003,8.696201,-6.165676,4.086987,0.780365211,-0.138090067,0.151777340,0.000000,6,0.040869866,2.919276116,0.000000000,0.000000,swing_up
real,6.024,8.498304,-6.206793,3.997966,0.780629473,-0.185695436,0.148323385,0.000000,6,0.039979664,2.855690251,0.000000000,0.000000,swing_up
real,6.045,8.246856,-6.163169,3.888880,0.780957739,-0.232080480,0.143934783,0.000000,6,0.038888801,2.777771522,0.000000000,0.000000,swing_up
