workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
pid,4.079,174.353670,12.054138,-1.287061,0.002362402,-0.338578875,3.043045602,0.000000,6,-0.012870610,-0.919329259,0.000000000,0.000000,swing_up
pid,4.100,173.964625,12.068468,-2.906767,0.002587173,-0.321000603,3.036255482,0.000000,6,-0.029067668,-2.076262026,0.000000000,0.000000,swing_up
pid,4.121,173.599121,12.050776,-1.372761,0.002889402,-0.332889741,3.029876249,0.000000,6,-0.013727611,-0.980543637,0.000000000,0.000000,swing_up
pid,4.141,173.221360,11.981683,-3.201558,0.003133169,-0.312301570,3.023283073,0.000000,6,-0.032015579,-2.286827093,0.000000000,0.000000,swing_up
pid,4.162,172.863791,11.873897,-1.520095,0.003461062,-0.324570953,3.017042312,0.000000,6,-0.015200947,-1.085781909,0.000000000,0.000000,swing_up
pid,4.183,172.501875,11.713375,-3.399416,0.003721140,-0.302398648,3.010725691,0.000000,6,-0.033994164,-2.428154571,0.000000000,0.000000,swing_up
pid,4.203,172.152418,11.505579,-1.732376,0.004067865,-0.313431475,3.004626513,0.000000,6,-0.017323761,-1.237411470,0.000000000,0.000000,swing_up
pid,4.224,171.807496,11.244334,-3.537165,0.004342706,-0.290782551,2.998606479,0.000000,6,-0.035371652,-2.526546541,0.000000000,0.000000,swing_up
pid,4.244,171.470548,10.928925,-2.052274,0.004697431,-0.298910804,2.992725636,0.000000,6,-0.020522736,-1.465909748,0.000000000,0.000000,swing_up
pid,4.265,171.144370,10.558322,-3.690508,0.004983664,-0.276591922,2.987032760,0.000000,6,-0.036905082,-2.636077289,0.000000000,0.000000,swing_up
pid,4.286,170.824320,10.128125,-2.218542,0.005342319,-0.283365923,2.981446833,0.000000,6,-0.022185425,-1.584673192,0.000000000,0.000000,swing_up
pid,4.307,170.516231,9.638850,-3.872836,0.005632684,-0.259559866,2.976069662,0.000000,6,-0.038728364,-2.766311695,0.000000000,0.000000,swing_up
pid,4.328,170.217913,9.087385,-2.407807,0.005985937,-0.264980869,2.970863033,0.000000,6,-0.024078065,-1.719861800,0.000000000,0.000000,swing_up
pid,4.349,169.930436,8.472148,-4.002655,0.006275532,-0.240354020,2.965845613,0.000000,6,-0.040026551,-2.859039385,0.000000000,0.000000,swing_up
pid,4.370,169.657052,7.792749,-2.620007,0.006613663,-0.243644667,2.961074159,0.000000,6,-0.026200067,-1.871433325,0.000000000,0.000000,swing_up
pid,4.391,169.392908,7.044972,-4.071979,0.006896872,-0.218955552,2.956463981,0.000000,6,-0.040719785,-2.908556083,0.000000000,0.000000,swing_up
pid,4.412,169.148131,6.231862,-2.961249,0.007207729,-0.218245401,2.952191809,0.000000,6,-0.029612487,-2.115177654,0.000000000,0.000000,swing_up
pid,4.433,168.910476,5.345892,-3.979083,0.007481050,-0.196276023,2.948043941,0.000000,6,-0.039790831,-2.842202226,0.000000000,0.000000,swing_up
pid,4.454,168.696482,4.393346,-3.276347,0.007756247,-0.190208738,2.944309046,0.000000,6,-0.032763466,-2.340247567,0.000000000,0.000000,swing_up
pid,4.474,168.488477,3.364332,-3.871997,0.008010034,-0.170840967,2.940678667,0.000000,6,-0.038719971,-2.765712190,0.000000000,0.000000,swing_up
pid,4.495,168.308411,2.267929,-3.626594,0.008242300,-0.158909103,2.937535929,0.000000,6,-0.036265941,-2.590424326,0.000000000,0.000000,swing_up
pid,4.516,168.135688,1.093102,-3.812720,0.008463451,-0.142039611,2.934521341,0.000000,6,-0.038127198,-2.723371279,0.000000000,0.000000,swing_up
pid,4.537,167.988198,-0.152762,-3.623751,0.008657333,-0.128100316,2.931947166,0.000000,6,-0.036237505,-2.588393226,0.000000000,0.000000,swing_up
pid,4.557,167.854330,-1.476178,-3.911460,0.008830895,-0.108801216,2.929610726,0.000000,6,-0.039114601,-2.793900077,0.000000000,0.000000,swing_up
pid,4.578,167.744905,-2.872836,-3.642793,0.008977414,-0.094200901,2.927700897,0.000000,6,-0.036427925,-2.601994660,0.000000000,0.000000,swing_up
pid,4.599,167.650708,-4.347845,-0.229863,0.009101098,-0.073695998,2.926056852,0.000000,6,-0.002298635,-0.164188212,0.000000000,0.000000,swing_up
pid,4.620,167.673805,-5.852954,4.361884,0.009074728,0.085371300,2.926459958,0.000000,6,0.043618835,3.115631094,0.000000000,0.000000,swing_up
pid,4.640,168.041096,-7.278692,1.257930,0.009212906,0.417265848,2.932870409,0.000000,6,0.012579302,0.898521590,0.000000000,0.000000,swing_up
