workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,note
pendulum_real_ws,BALANCE,11.838,-2.611415,-19.791195,32.703040,0.784408176,0.062607951,-0.045577791,-7.081370,7,0.327030404,-108.873976808,0.004754618,manual_A_near_upright
pendulum_real_ws,BALANCE,11.890,-0.091696,-19.830238,19.166992,0.795101023,-1.604799471,-0.001600398,-7.055251,7,0.191669920,150.000000000,5.142560097,manual_A_near_upright
pendulum_real_ws,BALANCE,11.942,0.740715,-15.964762,3.628022,0.817728944,2.870615567,0.012927913,-7.055251,7,0.036280224,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.995,-1.794663,-19.496497,50.083402,0.787122616,-0.792952632,-0.031322780,-7.002036,7,0.500834020,66.520028540,2.678400931,manual_A_near_upright
pendulum_real_ws,BALANCE,12.046,0.005060,-19.185613,35.768538,0.795539376,-1.638549448,0.000088313,-7.002036,7,0.357685378,150.000000000,5.242960824,manual_A_near_upright
pendulum_real_ws,BALANCE,12.097,1.446957,-17.459370,16.581325,0.808639836,2.447700996,0.025254164,-6.976893,7,0.165813249,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,12.149,-1.012955,-21.733392,33.340638,0.785990113,-0.559337929,-0.017679400,-6.950880,7,0.333406383,23.814741663,1.869438674,manual_A_near_upright
pendulum_real_ws,BALANCE,12.201,0.939804,-20.987466,-11.207840,0.788438724,-0.960665089,0.016402678,-6.950880,7,-0.112078405,150.000000000,3.000316234,manual_A_near_upright
pendulum_real_ws,BALANCE,12.253,0.121867,-18.556591,-25.089738,0.806092323,2.307228337,0.002126978,-6.950880,7,-0.250897379,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,12.306,-2.242361,-22.563378,19.802729,0.811744402,-2.609831275,-0.039136577,-6.926086,7,0.198027293,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,12.357,1.237858,-18.585715,-24.926447,0.787906774,0.894196444,0.021604698,-6.926086,7,-0.249264475,-59.236170584,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,12.410,-1.540958,-18.954506,2.344364,0.789916105,1.146517946,-0.026894784,-6.926086,7,0.023443638,-150.000000000,-3.547830899,manual_A_near_upright
pendulum_real_ws,BALANCE,12.463,-1.247976,-20.755910,18.238667,0.801532790,-2.050967335,-0.021781298,-6.926086,7,0.182386674,150.000000000,5.583751628,manual_A_near_upright
pendulum_real_ws,BALANCE,12.515,1.430720,-18.796741,-25.513589,0.788402861,0.965037930,0.024970769,-6.901528,7,-0.255135894,-52.498876043,-3.200489837,manual_A_near_upright
pendulum_real_ws,BALANCE,12.567,-2.370056,-19.449716,18.400493,0.785950876,0.609619418,-0.041365282,-6.901528,7,0.184004934,-150.000000000,3.401839945,manual_A_near_upright
pendulum_real_ws,BALANCE,12.618,-0.937651,-20.388390,3.938958,0.806656823,-2.340372166,-0.016365090,-6.901528,7,0.039389582,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,12.671,0.215081,-16.651587,-38.659302,0.788339643,0.941064249,0.003753867,-6.876623,7,-0.386593024,-105.116826800,-3.028297998,manual_A_near_upright
pendulum_real_ws,BALANCE,12.723,-3.231597,-17.062315,5.676798,0.784469982,-0.271092638,-0.056402009,-6.876623,7,0.056767978,-76.625409061,1.121305483,manual_A_near_upright
